alumno_id,materia_asignada_id,materia,ciclo,fecha_corte,Examen 1_1,Examen 2_1,Examen Final_1,Exposición_1,Tarea 1_1,Tarea 2_1,Tarea 3_1,Tarea 4_1,Tarea 5_1,Tarea 6_1,Tarea 7_1,cantidad_participaciones,porcentaje_participacion,promedio_participacion,porcentaje_asistencia,promedio_nota,aprobado
29,1,Lenguaje,2022,2022-03-03,,51.35,,,,,,,,,,0,0.0,0.0,0.6666666666666666,51.35,1
29,1,Lenguaje,2022,2022-04-05,61.13,51.35,,94.2,,,,,,,,6,0.23076923076923078,7.474999999999999,0.7692307692307693,68.89333333333333,1
29,1,Lenguaje,2022,2022-04-05,61.13,51.35,,94.2,,,,,,,,6,0.23076923076923078,7.474999999999999,0.7692307692307693,68.89333333333333,1
29,1,Lenguaje,2022,2022-04-12,61.13,51.35,,94.2,,,,,,89.66,,7,0.22580645161290322,7.708571428571427,0.7419354838709677,74.08500000000001,1
29,1,Lenguaje,2022,2022-05-11,61.13,51.35,,94.2,,,,,,89.66,52.21,11,0.21153846153846154,7.760000000000002,0.7884615384615384,69.71000000000001,1
29,1,Lenguaje,2022,2022-05-17,61.13,51.35,,94.2,,,99.28,,,89.66,52.21,11,0.19642857142857142,7.760000000000002,0.7678571428571429,74.63833333333334,1
29,1,Lenguaje,2022,2022-05-18,61.13,51.35,,94.2,,99.99,99.28,,,89.66,52.21,11,0.19298245614035087,7.760000000000002,0.7719298245614035,78.26,1
29,1,Lenguaje,2022,2022-10-18,61.13,51.35,,94.2,,99.99,99.28,,87.95,89.66,52.21,34,0.20481927710843373,7.579411764705884,0.8554216867469879,79.47125,1
29,1,Lenguaje,2022,2022-11-02,61.13,51.35,,94.2,,99.99,99.28,86.28,87.95,89.66,52.21,38,0.21468926553672316,7.536578947368423,0.847457627118644,80.22777777777777,1
29,1,Lenguaje,2022,2022-11-24,61.13,51.35,,94.2,87.78,99.99,99.28,86.28,87.95,89.66,52.21,43,0.22279792746113988,7.500465116279074,0.8549222797927462,80.983,1
29,1,Lenguaje,2022,2022-11-28,61.13,51.35,55.84,94.2,87.78,99.99,99.28,86.28,87.95,89.66,52.21,43,0.2205128205128205,7.500465116279074,0.8564102564102564,78.69727272727273,1
4,1,Lenguaje,2022,2022-03-03,,,,,89.99,,,,,,,0,0.0,0.0,0.6666666666666666,89.99,1
4,1,Lenguaje,2022,2022-03-15,,,,,89.99,,,,,,86.62,1,0.09090909090909091,7.23,0.9090909090909091,88.305,1
4,1,Lenguaje,2022,2022-03-16,,,86.96,,89.99,,,,,,86.62,1,0.08333333333333333,7.23,0.9166666666666666,87.85666666666667,1
4,1,Lenguaje,2022,2022-04-19,,,86.96,97.45,89.99,,,,,,86.62,7,0.19444444444444445,7.368571428571428,0.9444444444444444,90.255,1
4,1,Lenguaje,2022,2022-05-20,,,86.96,97.45,89.99,,,,90.95,,86.62,10,0.1694915254237288,7.233,0.8813559322033898,90.39399999999999,1
4,1,Lenguaje,2022,2022-05-24,,,86.96,97.45,89.99,94.02,,,90.95,,86.62,10,0.16393442622950818,7.233,0.8852459016393442,90.99833333333333,1
4,1,Lenguaje,2022,2022-05-31,,94.41,86.96,97.45,89.99,94.02,,,90.95,,86.62,11,0.16666666666666666,7.466363636363636,0.8787878787878788,91.48571428571428,1
4,1,Lenguaje,2022,2022-06-01,86.95,94.41,86.96,97.45,89.99,94.02,,,90.95,,86.62,12,0.1791044776119403,7.540833333333333,0.8656716417910447,90.91875,1
4,1,Lenguaje,2022,2022-06-27,86.95,94.41,86.96,97.45,89.99,94.02,88.58,,90.95,,86.62,15,0.17647058823529413,7.47,0.8588235294117647,90.65888888888888,1
4,1,Lenguaje,2022,2022-08-26,86.95,94.41,86.96,97.45,89.99,94.02,88.58,91.43,90.95,,86.62,23,0.17829457364341086,7.656521739130433,0.8682170542635659,90.736,1
4,1,Lenguaje,2022,2022-11-01,86.95,94.41,86.96,97.45,89.99,94.02,88.58,91.43,90.95,91.89,86.62,38,0.2159090909090909,7.599999999999997,0.8693181818181818,90.8409090909091,1
34,1,Lenguaje,2022,2022-03-09,,,,,,,,,,,94.19,3,0.42857142857142855,7.296666666666667,0.7142857142857143,94.19,1
34,1,Lenguaje,2022,2022-03-15,,,,,,,,,87.8,,94.19,3,0.2727272727272727,7.296666666666667,0.8181818181818182,90.995,1
34,1,Lenguaje,2022,2022-06-13,,,,,,,,95.11,87.8,,94.19,19,0.25333333333333335,7.668947368421051,0.8266666666666667,92.36666666666667,1
34,1,Lenguaje,2022,2022-06-24,,93.73,,,,,,95.11,87.8,,94.19,20,0.23809523809523808,7.749999999999998,0.8214285714285714,92.7075,1
34,1,Lenguaje,2022,2022-07-13,,93.73,,,,,,95.11,87.8,86.2,94.19,24,0.24742268041237114,7.588749999999998,0.8350515463917526,91.40599999999999,1
34,1,Lenguaje,2022,2022-07-21,,93.73,,,87.4,,,95.11,87.8,86.2,94.19,24,0.23300970873786409,7.588749999999998,0.8446601941747572,90.73833333333334,1
34,1,Lenguaje,2022,2022-09-06,,93.73,51.54,,87.4,,,95.11,87.8,86.2,94.19,33,0.2426470588235294,7.36181818181818,0.8161764705882353,85.13857142857144,1
34,1,Lenguaje,2022,2022-11-10,,93.73,51.54,,87.4,55.67,,95.11,87.8,86.2,94.19,41,0.22404371584699453,7.489268292682926,0.8415300546448088,81.455,1
34,1,Lenguaje,2022,2022-11-11,87.03,93.73,51.54,,87.4,55.67,,95.11,87.8,86.2,94.19,42,0.22826086956521738,7.539047619047618,0.842391304347826,82.07444444444445,1
34,1,Lenguaje,2022,2022-11-28,87.03,93.73,51.54,97.0,87.4,55.67,,95.11,87.8,86.2,94.19,44,0.22564102564102564,7.531136363636363,0.8512820512820513,83.56700000000001,1
34,1,Lenguaje,2022,2022-11-30,87.03,93.73,51.54,97.0,87.4,55.67,91.63,95.11,87.8,86.2,94.19,44,0.2233502538071066,7.531136363636363,0.8527918781725888,84.30000000000001,1
10,1,Lenguaje,2022,2022-03-11,,95.31,,,,,,,,,,2,0.2222222222222222,5.43,1.0,95.31,1
10,1,Lenguaje,2022,2022-03-15,,95.31,99.06,,,,,,,,,2,0.18181818181818182,5.43,1.0,97.185,1
10,1,Lenguaje,2022,2022-04-08,,95.31,99.06,,,60.49,,,,,,9,0.3103448275862069,7.152222222222221,0.9655172413793104,84.95333333333333,1
10,1,Lenguaje,2022,2022-04-27,,95.31,99.06,,,60.49,,93.02,,,,12,0.2857142857142857,7.041666666666667,0.9047619047619048,86.97,1
10,1,Lenguaje,2022,2022-08-03,,95.31,99.06,,97.93,60.49,,93.02,,,,31,0.2767857142857143,7.256129032258063,0.8928571428571429,89.162,1
10,1,Lenguaje,2022,2022-08-12,,95.31,99.06,98.17,97.93,60.49,,93.02,,,,32,0.2689075630252101,7.249374999999999,0.8823529411764706,90.66333333333334,1
10,1,Lenguaje,2022,2022-08-24,,95.31,99.06,98.17,97.93,60.49,,93.02,,99.12,,35,0.2755905511811024,7.275142857142856,0.8818897637795275,91.87142857142855,1
10,1,Lenguaje,2022,2022-09-22,,95.31,99.06,98.17,97.93,60.49,,93.02,96.2,99.12,,38,0.25675675675675674,7.302631578947368,0.8716216216216216,92.4125,1
10,1,Lenguaje,2022,2022-09-26,,95.31,99.06,98.17,97.93,60.49,88.93,93.02,96.2,99.12,,38,0.25333333333333335,7.302631578947368,0.8733333333333333,92.02555555555556,1
10,1,Lenguaje,2022,2022-09-29,,95.31,99.06,98.17,97.93,60.49,88.93,93.02,96.2,99.12,86.04,38,0.24836601307189543,7.302631578947368,0.869281045751634,91.42699999999999,1
10,1,Lenguaje,2022,2022-10-07,99.7,95.31,99.06,98.17,97.93,60.49,88.93,93.02,96.2,99.12,86.04,38,0.2389937106918239,7.302631578947368,0.8742138364779874,92.17909090909092,1
35,1,Lenguaje,2022,2022-04-15,90.62,,,,,,,,,,,15,0.4411764705882353,7.371333333333334,0.8529411764705882,90.62,1
35,1,Lenguaje,2022,2022-04-28,90.62,,,,,,,94.25,,,87.2,16,0.37209302325581395,7.4418750000000005,0.813953488372093,90.69,1
35,1,Lenguaje,2022,2022-04-28,90.62,,,,,,,94.25,,,87.2,16,0.37209302325581395,7.4418750000000005,0.813953488372093,90.69,1
35,1,Lenguaje,2022,2022-05-16,90.62,,,,,93.37,,94.25,,,87.2,20,0.36363636363636365,7.2829999999999995,0.8545454545454545,91.36,1
35,1,Lenguaje,2022,2022-05-20,90.62,93.27,,,,93.37,,94.25,,,87.2,20,0.3389830508474576,7.2829999999999995,0.847457627118644,91.74199999999999,1
35,1,Lenguaje,2022,2022-08-19,90.62,93.27,,87.69,,93.37,,94.25,,,87.2,30,0.24193548387096775,7.262000000000001,0.8709677419354839,91.06666666666666,1
35,1,Lenguaje,2022,2022-08-31,90.62,93.27,,87.69,,93.37,,94.25,,96.5,87.2,34,0.25757575757575757,7.286176470588236,0.8712121212121212,91.84285714285716,1
35,1,Lenguaje,2022,2022-10-04,90.62,93.27,,87.69,,93.37,99.56,94.25,,96.5,87.2,43,0.27564102564102566,7.379767441860465,0.8333333333333334,92.8075,1
35,1,Lenguaje,2022,2022-10-21,90.62,93.27,,87.69,,93.37,99.56,94.25,98.39,96.5,87.2,45,0.26627218934911245,7.435555555555554,0.834319526627219,93.42777777777778,1
35,1,Lenguaje,2022,2022-10-31,90.62,93.27,96.09,87.69,,93.37,99.56,94.25,98.39,96.5,87.2,45,0.2571428571428571,7.435555555555554,0.84,93.694,1
35,1,Lenguaje,2022,2022-11-30,90.62,93.27,96.09,87.69,91.73,93.37,99.56,94.25,98.39,96.5,87.2,49,0.24873096446700507,7.444285714285713,0.8223350253807107,93.51545454545455,1
6,1,Lenguaje,2022,2022-04-04,,,,,,,,,,62.82,,10,0.4,7.915000000000001,0.92,62.82,1
6,1,Lenguaje,2022,2022-04-06,,,,,86.61,,,,,62.82,,10,0.37037037037037035,7.915000000000001,0.9259259259259259,74.715,1
6,1,Lenguaje,2022,2022-04-08,,,,,86.61,,,,93.45,62.82,,10,0.3448275862068966,7.915000000000001,0.9310344827586207,80.96,1
6,1,Lenguaje,2022,2022-05-17,,,,,86.61,87.4,,,93.45,62.82,,14,0.25,7.895714285714286,0.875,82.57,1
6,1,Lenguaje,2022,2022-05-18,,,,,86.61,87.4,88.23,,93.45,62.82,,14,0.24561403508771928,7.895714285714286,0.8596491228070176,83.702,1
6,1,Lenguaje,2022,2022-05-27,,,,92.03,86.61,87.4,88.23,,93.45,62.82,,16,0.25,8.08,0.875,85.09,1
6,1,Lenguaje,2022,2022-06-01,,96.16,,92.03,86.61,87.4,88.23,,93.45,62.82,,17,0.2537313432835821,8.134117647058824,0.8656716417910447,86.67142857142858,1
6,1,Lenguaje,2022,2022-06-15,99.35,96.16,,92.03,86.61,87.4,88.23,,93.45,62.82,,19,0.24675324675324675,8.14,0.8571428571428571,88.25625000000001,1
6,1,Lenguaje,2022,2022-07-15,99.35,96.16,,92.03,86.61,87.4,88.23,86.63,93.45,62.82,,22,0.2222222222222222,8.109545454545454,0.8686868686868687,88.07555555555557,1
6,1,Lenguaje,2022,2022-11-09,99.35,96.16,,92.03,86.61,87.4,88.23,86.63,93.45,62.82,97.69,40,0.21978021978021978,7.741999999999999,0.8516483516483516,89.037,1
6,1,Lenguaje,2022,2022-11-24,99.35,96.16,96.67,92.03,86.61,87.4,88.23,86.63,93.45,62.82,97.69,41,0.21243523316062177,7.765365853658535,0.844559585492228,89.7309090909091,1
31,1,Lenguaje,2022,2022-03-21,,,98.95,,,,,,,,,0,0.0,0.0,0.7333333333333333,98.95,1
31,1,Lenguaje,2022,2022-04-05,56.43,,98.95,,,,,,,,,1,0.038461538461538464,7.37,0.7692307692307693,77.69,1
31,1,Lenguaje,2022,2022-07-05,56.43,,98.95,,,,,,99.04,,,19,0.2087912087912088,7.420000000000001,0.7802197802197802,84.80666666666667,1
31,1,Lenguaje,2022,2022-07-26,56.43,,98.95,,,,,88.99,99.04,,,22,0.20754716981132076,7.508636363636365,0.7924528301886793,85.85249999999999,1
31,1,Lenguaje,2022,2022-08-09,56.43,,98.95,98.15,,,,88.99,99.04,,,23,0.19827586206896552,7.471304347826089,0.7844827586206896,88.312,1
31,1,Lenguaje,2022,2022-08-18,56.43,,98.95,98.15,,,94.64,88.99,99.04,,,24,0.1951219512195122,7.472083333333335,0.7886178861788617,89.36666666666667,1
31,1,Lenguaje,2022,2022-09-19,56.43,53.25,98.95,98.15,,,94.64,88.99,99.04,,,31,0.21379310344827587,7.189677419354839,0.8,84.20714285714287,1
31,1,Lenguaje,2022,2022-10-19,56.43,53.25,98.95,98.15,,93.43,94.64,88.99,99.04,,,36,0.2155688622754491,7.274722222222223,0.8143712574850299,85.36000000000001,1
